time,voltage
0.179,3.804
0.1795,3.807
0.18,3.81
0.1805,3.812
0.181,3.815
0.1815,3.818
0.182,3.82
0.1825,3.823
0.183,3.825
0.1835,3.828
0.184,3.83
0.1845,3.833
0.185,3.836
0.1855,3.838
0.186,3.84
0.1865,3.843
0.187,3.845
0.1875,3.848
0.188,3.85
0.1885,3.853
0.189,3.855
0.1895,3.857
0.19,3.86
0.1905,3.862
0.191,3.864
0.1915,3.866
0.192,3.869
0.1925,3.871
0.193,3.873
0.1935,3.875
0.194,3.877
0.1945,3.88
0.195,3.882
0.1955,3.884
0.196,3.886
0.1965,3.888
0.197,3.89
0.1975,3.892
0.198,3.894
0.1985,3.896
0.199,3.898
0.1995,3.9
0.2,3.902
0.2005,3.904
0.201,3.906
0.2015,3.908
0.202,3.91
0.2025,3.912
0.203,3.913
0.2035,3.915
0.204,3.917
0.2045,3.919
0.205,3.921
0.2055,3.922
0.206,3.924
0.2065,3.926
0.207,3.927
0.2075,3.929
0.208,3.931
0.2085,3.932
0.209,3.934
0.2095,3.936
0.21,3.937
0.2105,3.939
0.211,3.94
0.2115,3.942
0.212,3.943
0.2125,3.945
0.213,3.946
0.2135,3.948
0.214,3.949
0.2145,3.95
0.215,3.952
0.2155,3.953
0.216,3.955
0.2165,3.956
0.217,3.957
0.2175,3.958
0.218,3.96
0.2185,3.961
0.219,3.962
0.2195,3.963
0.22,3.965
0.2205,3.966
0.221,3.967
0.2215,3.968
0.222,3.969
0.2225,3.97
0.223,3.971
0.2235,3.972
0.224,3.973
0.2245,3.974
0.225,3.975
0.2255,3.976
0.226,3.977
0.2265,3.978
0.227,3.979
0.2275,3.98
0.228,3.981
0.2285,3.982
0.229,3.983
0.2295,3.983
0.23,3.984
0.2305,3.985
0.231,3.986
0.2315,3.987
0.232,3.987
0.2325,3.988
0.233,3.989
0.2335,3.989
0.234,3.99
0.2345,3.991
0.235,3.991
0.2355,3.992
0.236,3.992
0.2365,3.993
0.237,3.993
0.2375,3.994
0.238,3.994
0.2385,3.995
0.239,3.995
0.2395,3.996
0.24,3.996
0.2405,3.996
0.241,3.997
0.2415,3.997
0.242,3.997
0.2425,3.998
0.243,3.998
0.2435,3.998
0.244,3.999
0.2445,3.999
0.245,3.999
0.2455,3.999
0.246,3.999
0.2465,4.0
0.247,4.0
0.2475,4.0
0.248,4.0
0.2485,4.0
0.249,4.0
0.2495,4.0
0.25,4.0
0.2505,4.0
0.251,4.0
0.2515,4.0
0.252,4.0
0.2525,4.0
0.253,4.0
0.2535,4.0
0.254,3.999
0.2545,3.999
0.255,3.999
0.2555,3.999
0.256,3.999
0.2565,3.998
0.257,3.998
0.2575,3.998
0.258,3.997
0.2585,3.997
0.259,3.997
0.2595,3.996
0.26,3.996
0.2605,3.996
0.261,3.995
0.2615,3.995
0.262,3.994
0.2625,3.994
0.263,3.993
0.2635,3.993
0.264,3.992
0.2645,3.992
0.265,3.991
0.2655,3.991
0.266,3.99
0.2665,3.989
0.267,3.989
0.2675,3.988
0.268,3.987
0.2685,3.987
0.269,3.986
0.2695,3.985
0.27,3.984
0.2705,3.983
0.271,3.983
0.2715,3.982
0.272,3.981
0.2725,3.98
0.273,3.979
0.2735,3.978
0.274,3.977
0.2745,3.976
0.275,3.975
0.2755,3.974
0.276,3.973
0.2765,3.972
0.277,3.971
0.2775,3.97
0.278,3.969
0.2785,3.968
0.279,3.967
0.2795,3.966
0.28,3.965
0.2805,3.963
0.281,3.962
0.2815,3.961
0.282,3.96
0.2825,3.958
0.283,3.957
0.2835,3.956
0.284,3.955
0.2845,3.953
0.285,3.952
0.2855,3.95
0.286,3.949
0.2865,3.948
0.287,3.946
0.2875,3.945
0.288,3.943
0.2885,3.942
0.289,3.94
0.2895,3.939
0.29,3.937
0.2905,3.936
0.291,3.934
0.2915,3.932
0.292,3.931
0.2925,3.929
0.293,3.927
0.2935,3.926
0.294,3.924
0.2945,3.922
0.295,3.921
0.2955,3.919
0.296,3.917
0.2965,3.915
0.297,3.913
0.2975,3.912
0.298,3.91
0.2985,3.908
0.299,3.906
0.2995,3.904
0.3,3.902
0.3005,3.9
0.301,3.898
0.3015,3.896
0.302,3.894
0.3025,3.892
0.303,3.89
0.3035,3.888
0.304,3.886
0.3045,3.884
0.305,3.882
0.3055,3.88
0.306,3.877
0.3065,3.875
0.307,3.873
0.3075,3.871
0.308,3.869
0.3085,3.866
0.309,3.864
0.3095,3.862
0.31,3.86
0.3105,3.857
0.311,3.855
0.3115,3.853
0.312,3.85
0.3125,3.848
0.313,3.845
0.3135,3.843
0.314,3.84
0.3145,3.838
0.315,3.836
0.3155,3.833
0.316,3.83
0.3165,3.828
0.317,3.825
0.3175,3.823
0.318,3.82
0.3185,3.818
0.319,3.815
0.3195,3.812
0.32,3.81
0.3205,3.807
0.321,3.804
0.3215,3.802
0.322,3.799
0.3225,3.796
0.323,3.793
0.3235,3.79
0.324,3.788
0.3245,3.785
0.325,3.782
0.3255,3.779
0.326,3.776
0.3265,3.773
0.327,3.77
0.3275,3.768
0.328,3.765
0.3285,3.762
0.329,3.759
0.3295,3.756
0.33,3.753
0.3305,3.75
0.331,3.747
0.3315,3.743
0.332,3.74
0.3325,3.737
0.333,3.734
0.3335,3.731
0.334,3.728
0.3345,3.725
0.335,3.721
0.3355,3.718
0.336,3.715
0.3365,3.712
0.337,3.709
0.3375,3.705
0.338,3.702
0.3385,3.699
0.339,3.695
0.3395,3.692
0.34,3.689
0.3405,3.685
0.341,3.682
0.3415,3.678
0.342,3.675
0.3425,3.672
0.343,3.668
0.3435,3.665
0.344,3.661
0.3445,3.658
0.345,3.654
0.3455,3.651
0.346,3.647
0.3465,3.643
0.347,3.64
0.3475,3.636
0.348,3.633
0.3485,3.629
0.349,3.625
0.3495,3.622
0.35,3.618
0.3505,3.614
0.351,3.611
0.3515,3.607
0.352,3.603
0.3525,3.599
0.353,3.596
0.3535,3.592
0.354,3.588
0.3545,3.584
0.355,3.58
0.3555,3.576
0.356,3.573
0.3565,3.569
0.357,3.565
0.3575,3.561
0.358,3.557
0.3585,3.553
0.359,3.549
0.3595,3.545
0.36,3.541
0.3605,3.537
0.361,3.533
0.3615,3.529
0.362,3.525
0.3625,3.521
0.363,3.517
0.3635,3.513
0.364,3.509
0.3645,3.504
0.365,3.5
0.3655,3.496
0.366,3.492
0.3665,3.488
0.367,3.483
0.3675,3.479
0.368,3.475
0.3685,3.471
0.369,3.467
0.3695,3.462
0.37,3.458
0.3705,3.454
0.371,3.449
0.3715,3.445
0.372,3.441
0.3725,3.436
0.373,3.432
0.3735,3.427
0.374,3.423
0.3745,3.419
0.375,3.414
0.3755,3.41
0.376,3.405
0.3765,3.401
0.377,3.396
0.3775,3.392
0.378,3.387
0.3785,3.383
0.379,3.378
0.3795,3.374
0.38,3.369
0.3805,3.365
0.381,3.36
0.3815,3.355
0.382,3.351
0.3825,3.346
0.383,3.341
0.3835,3.337
0.384,3.332
0.3845,3.327
0.385,3.323
0.3855,3.318
0.386,3.313
0.3865,3.308
0.387,3.304
0.3875,3.299
0.388,3.294
0.3885,3.289
0.389,3.285
0.3895,3.28
0.39,3.275
0.3905,3.27
0.391,3.265
0.3915,3.26
0.392,3.255
0.3925,3.25
0.393,3.246
0.3935,3.241
0.394,3.236
0.3945,3.231
0.395,3.226
0.3955,3.221
0.396,3.216
0.3965,3.211
0.397,3.206
0.3975,3.201
0.398,3.196
0.3985,3.191
0.399,3.186
0.3995,3.181
0.4,3.176
0.4005,3.17
0.401,3.165
0.4015,3.16
0.402,3.155
0.4025,3.15
0.403,3.145
0.4035,3.14
0.404,3.135
0.4045,3.129
0.405,3.124
0.4055,3.119
0.406,3.114
0.4065,3.109
0.407,3.103
0.4075,3.098
0.408,3.093
0.4085,3.088
0.409,3.082
0.4095,3.077
0.41,3.072
0.4105,3.066
0.411,3.061
0.4115,3.056
0.412,3.05
0.4125,3.045
0.413,3.04
0.4135,3.034
0.414,3.029
0.4145,3.023
0.415,3.018
0.4155,3.013
0.416,3.007
0.4165,3.002
0.417,2.996
0.4175,2.991
0.418,2.985
0.4185,2.98
0.419,2.975
0.4195,2.969
0.42,2.964
0.4205,2.958
0.421,2.952
0.4215,2.947
0.422,2.941
0.4225,2.936
0.423,2.93
0.4235,2.925
0.424,2.919
0.4245,2.914
0.425,2.908
0.4255,2.902
0.426,2.897
0.4265,2.891
0.427,2.886
0.4275,2.88
0.428,2.874
0.4285,2.869
0.429,2.863
0.4295,2.857
0.43,2.852
0.4305,2.846
0.431,2.84
0.4315,2.834
0.432,2.829
0.4325,2.823
0.433,2.817
0.4335,2.812
0.434,2.806
0.4345,2.8
0.435,2.794
0.4355,2.789
0.436,2.783
0.4365,2.777
0.437,2.771
0.4375,2.765
0.438,2.76
0.4385,2.754
0.439,2.748
0.4395,2.742
0.44,2.736
0.4405,2.73
0.441,2.725
0.4415,2.719
0.442,2.713
0.4425,2.707
0.443,2.701
0.4435,2.695
0.444,2.689
0.4445,2.683
0.445,2.677
0.4455,2.672
0.446,2.666
0.4465,2.66
0.447,2.654
0.4475,2.648
0.448,2.642
0.4485,2.636
0.449,2.63
0.4495,2.624
0.45,2.618
0.4505,2.612
0.451,2.606
0.4515,2.6
0.452,2.594
0.4525,2.588
0.453,2.582
0.4535,2.576
0.454,2.57
0.4545,2.564
0.455,2.558
0.4555,2.552
0.456,2.546
0.4565,2.54
0.457,2.534
0.4575,2.528
0.458,2.522
0.4585,2.516
0.459,2.51
0.4595,2.503
0.46,2.497
0.4605,2.491
0.461,2.485
0.4615,2.479
0.462,2.473
0.4625,2.467
0.463,2.461
0.4635,2.455
0.464,2.449
0.4645,2.442
0.465,2.436
0.4655,2.43
0.466,2.424
0.4665,2.418
0.467,2.412
0.4675,2.406
0.468,2.399
0.4685,2.393
0.469,2.387
0.4695,2.381
0.47,2.375
0.4705,2.369
0.471,2.362
0.4715,2.356
0.472,2.35
0.4725,2.344
0.473,2.338
0.4735,2.331
0.474,2.325
0.4745,2.319
0.475,2.313
0.4755,2.307
0.476,2.3
0.4765,2.294
0.477,2.288
0.4775,2.282
0.478,2.276
0.4785,2.269
0.479,2.263
0.4795,2.257
0.48,2.251
0.4805,2.244
0.481,2.238
0.4815,2.232
0.482,2.226
0.4825,2.219
0.483,2.213
0.4835,2.207
0.484,2.201
0.4845,2.194
0.485,2.188
0.4855,2.182
0.486,2.176
0.4865,2.169
0.487,2.163
0.4875,2.157
0.488,2.151
0.4885,2.144
0.489,2.138
0.4895,2.132
0.49,2.126
0.4905,2.119
0.491,2.113
0.4915,2.107
0.492,2.1
0.4925,2.094
0.493,2.088
0.4935,2.082
0.494,2.075
0.4945,2.069
0.495,2.063
0.4955,2.057
0.496,2.05
0.4965,2.044
0.497,2.038
0.4975,2.031
0.498,2.025
0.4985,2.019
0.499,2.013
0.4995,2.006
0.5,2.0
0.5005,1.994
0.501,1.987
0.5015,1.981
0.502,1.975
0.5025,1.969
0.503,1.962
0.5035,1.956
0.504,1.95
0.5045,1.943
0.505,1.937
0.5055,1.931
0.506,1.925
0.5065,1.918
0.507,1.912
0.5075,1.906
0.508,1.9
0.5085,1.893
0.509,1.887
0.5095,1.881
0.51,1.874
0.5105,1.868
0.511,1.862
0.5115,1.856
0.512,1.849
0.5125,1.843
0.513,1.837
0.5135,1.831
0.514,1.824
0.5145,1.818
0.515,1.812
0.5155,1.806
0.516,1.799
0.5165,1.793
0.517,1.787
0.5175,1.781
0.518,1.774
0.5185,1.768
0.519,1.762
0.5195,1.756
0.52,1.749
0.5205,1.743
0.521,1.737
0.5215,1.731
0.522,1.724
0.5225,1.718
0.523,1.712
0.5235,1.706
0.524,1.7
0.5245,1.693
0.525,1.687
0.5255,1.681
0.526,1.675
0.5265,1.669
0.527,1.662
0.5275,1.656
0.528,1.65
0.5285,1.644
0.529,1.638
0.5295,1.631
0.53,1.625
0.5305,1.619
0.531,1.613
0.5315,1.607
0.532,1.601
0.5325,1.594
0.533,1.588
0.5335,1.582
0.534,1.576
0.5345,1.57
0.535,1.564
0.5355,1.558
0.536,1.551
0.5365,1.545
0.537,1.539
0.5375,1.533
0.538,1.527
0.5385,1.521
0.539,1.515
0.5395,1.509
0.54,1.503
0.5405,1.497
0.541,1.49
0.5415,1.484
0.542,1.478
0.5425,1.472
0.543,1.466
0.5435,1.46
0.544,1.454
0.5445,1.448
0.545,1.442
0.5455,1.436
0.546,1.43
0.5465,1.424
0.547,1.418
0.5475,1.412
0.548,1.406
0.5485,1.4
0.549,1.394
0.5495,1.388
0.55,1.382
0.5505,1.376
0.551,1.37
0.5515,1.364
0.552,1.358
0.5525,1.352
0.553,1.346
0.5535,1.34
0.554,1.334
0.5545,1.328
0.555,1.323
0.5555,1.317
0.556,1.311
0.5565,1.305
0.557,1.299
0.5575,1.293
0.558,1.287
0.5585,1.281
0.559,1.275
0.5595,1.27
0.56,1.264
0.5605,1.258
0.561,1.252
0.5615,1.246
0.562,1.24
0.5625,1.235
0.563,1.229
0.5635,1.223
0.564,1.217
0.5645,1.211
0.565,1.206
0.5655,1.2
0.566,1.194
0.5665,1.188
0.567,1.183
0.5675,1.177
0.568,1.171
0.5685,1.166
0.569,1.16
0.5695,1.154
0.57,1.148
0.5705,1.143
0.571,1.137
0.5715,1.131
0.572,1.126
0.5725,1.12
0.573,1.114
0.5735,1.109
0.574,1.103
0.5745,1.098
0.575,1.092
0.5755,1.086
0.576,1.081
0.5765,1.075
0.577,1.07
0.5775,1.064
0.578,1.059
0.5785,1.053
0.579,1.048
0.5795,1.042
0.58,1.036
0.5805,1.031
0.581,1.025
0.5815,1.02
0.582,1.015
0.5825,1.009
0.583,1.004
0.5835,0.998
0.584,0.993
0.5845,0.987
0.585,0.982
0.5855,0.977
0.586,0.971
0.5865,0.966
0.587,0.96
0.5875,0.955
0.588,0.95
0.5885,0.944
0.589,0.939
0.5895,0.934
0.59,0.928
0.5905,0.923
0.591,0.918
0.5915,0.912
0.592,0.907
0.5925,0.902
0.593,0.897
0.5935,0.891
0.594,0.886
0.5945,0.881
0.595,0.876
0.5955,0.871
0.596,0.865
0.5965,0.86
0.597,0.855
0.5975,0.85
0.598,0.845
0.5985,0.84
0.599,0.835
0.5995,0.83
0.6,0.824
0.6005,0.819
0.601,0.814
0.6015,0.809
0.602,0.804
0.6025,0.799
0.603,0.794
0.6035,0.789
0.604,0.784
0.6045,0.779
0.605,0.774
0.6055,0.769
0.606,0.764
0.6065,0.759
0.607,0.754
0.6075,0.75
0.608,0.745
0.6085,0.74
0.609,0.735
0.6095,0.73
0.61,0.725
0.6105,0.72
0.611,0.715
0.6115,0.711
0.612,0.706
0.6125,0.701
0.613,0.696
0.6135,0.692
0.614,0.687
0.6145,0.682
0.615,0.677
0.6155,0.673
0.616,0.668
0.6165,0.663
0.617,0.659
0.6175,0.654
0.618,0.649
0.6185,0.645
0.619,0.64
0.6195,0.635
0.62,0.631
0.6205,0.626
0.621,0.622
0.6215,0.617
0.622,0.613
0.6225,0.608
0.623,0.604
0.6235,0.599
0.624,0.595
0.6245,0.59
0.625,0.586
0.6255,0.581
0.626,0.577
0.6265,0.573
0.627,0.568
0.6275,0.564
0.628,0.559
0.6285,0.555
0.629,0.551
0.6295,0.546
0.63,0.542
0.6305,0.538
0.631,0.533
0.6315,0.529
0.632,0.525
0.6325,0.521
0.633,0.517
0.6335,0.512
0.634,0.508
0.6345,0.504
0.635,0.5
0.6355,0.496
0.636,0.491
0.6365,0.487
0.637,0.483
0.6375,0.479
0.638,0.475
0.6385,0.471
0.639,0.467
0.6395,0.463
0.64,0.459
0.6405,0.455
0.641,0.451
0.6415,0.447
0.642,0.443
0.6425,0.439
0.643,0.435
0.6435,0.431
0.644,0.427
0.6445,0.424
0.645,0.42
0.6455,0.416
0.646,0.412
0.6465,0.408
0.647,0.404
0.6475,0.401
0.648,0.397
0.6485,0.393
0.649,0.389
0.6495,0.386
0.65,0.382
0.6505,0.378
0.651,0.375
0.6515,0.371
0.652,0.367
0.6525,0.364
0.653,0.36
0.6535,0.357
0.654,0.353
0.6545,0.349
0.655,0.346
0.6555,0.342
0.656,0.339
0.6565,0.335
0.657,0.332
0.6575,0.328
0.658,0.325
0.6585,0.322
0.659,0.318
0.6595,0.315
0.66,0.311
0.6605,0.308
0.661,0.305
0.6615,0.301
0.662,0.298
0.6625,0.295
0.663,0.291
0.6635,0.288
0.664,0.285
0.6645,0.282
0.665,0.279
0.6655,0.275
0.666,0.272
0.6665,0.269
0.667,0.266
0.6675,0.263
0.668,0.26
0.6685,0.257
0.669,0.253
0.6695,0.25
0.67,0.247
0.6705,0.244
0.671,0.241
0.6715,0.238
0.672,0.235
0.6725,0.232
0.673,0.23
0.6735,0.227
0.674,0.224
0.6745,0.221
0.675,0.218
0.6755,0.215
0.676,0.212
0.6765,0.21
0.677,0.207
0.6775,0.204
0.678,0.201
0.6785,0.198
0.679,0.196
0.6795,0.193
0.68,0.19
0.6805,0.188
0.681,0.185
0.6815,0.182
0.682,0.18
0.6825,0.177
0.683,0.175
0.6835,0.172
0.684,0.17
0.6845,0.167
0.685,0.164
0.6855,0.162
0.686,0.16
0.6865,0.157
0.687,0.155
0.6875,0.152
0.688,0.15
0.6885,0.147
0.689,0.145
0.6895,0.143
0.69,0.14
0.6905,0.138
0.691,0.136
0.6915,0.134
0.692,0.131
0.6925,0.129
0.693,0.127
0.6935,0.125
0.694,0.123
0.6945,0.12
0.695,0.118
0.6955,0.116
0.696,0.114
0.6965,0.112
0.697,0.11
0.6975,0.108
0.698,0.106
0.6985,0.104
0.699,0.102
0.6995,0.1
0.7,0.098
0.7005,0.096
0.701,0.094
0.7015,0.092
0.702,0.09
0.7025,0.088
0.703,0.087
0.7035,0.085
0.704,0.083
0.7045,0.081
0.705,0.079
0.7055,0.078
0.706,0.076
0.7065,0.074
0.707,0.073
0.7075,0.071
0.708,0.069
0.7085,0.068
0.709,0.066
0.7095,0.064
0.71,0.063
0.7105,0.061
0.711,0.06
0.7115,0.058
0.712,0.057
0.7125,0.055
0.713,0.054
0.7135,0.052
0.714,0.051
0.7145,0.05
0.715,0.048
0.7155,0.047
0.716,0.045
0.7165,0.044
0.717,0.043
0.7175,0.042
0.718,0.04
0.7185,0.039
0.719,0.038
0.7195,0.037
0.72,0.035
0.7205,0.034
0.721,0.033
0.7215,0.032
0.722,0.031
0.7225,0.03
0.723,0.029
0.7235,0.028
0.724,0.027
0.7245,0.026
0.725,0.025
0.7255,0.024
0.726,0.023
0.7265,0.022
0.727,0.021
0.7275,0.02
0.728,0.019
0.7285,0.018
0.729,0.017
0.7295,0.017
0.73,0.016
0.7305,0.015
0.731,0.014
0.7315,0.013
0.732,0.013
0.7325,0.012
0.733,0.011
0.7335,0.011
0.734,0.01
0.7345,0.009
0.735,0.009
0.7355,0.008
0.736,0.008
0.7365,0.007
0.737,0.007
0.7375,0.006
0.738,0.006
0.7385,0.005
0.739,0.005
0.7395,0.004
0.74,0.004
0.7405,0.004
0.741,0.003
0.7415,0.003
0.742,0.003
0.7425,0.002
0.743,0.002
0.7435,0.002
0.744,0.001
0.7445,0.001
0.745,0.001
0.7455,0.001
0.746,0.001
0.7465,0.0
0.747,0.0
0.7475,0.0
0.748,0.0
0.7485,0.0
0.749,0.0
0.7495,0.0
0.75,0.0
0.7505,0.0
0.751,0.0
0.7515,0.0
0.752,0.0
0.7525,0.0
0.753,0.0
0.7535,0.0
0.754,0.001
0.7545,0.001
0.755,0.001
0.7555,0.001
0.756,0.001
0.7565,0.002
0.757,0.002
0.7575,0.002
0.758,0.003
0.7585,0.003
0.759,0.003
0.7595,0.004
0.76,0.004
0.7605,0.004
0.761,0.005
0.7615,0.005
0.762,0.006
0.7625,0.006
0.763,0.007
0.7635,0.007
0.764,0.008
0.7645,0.008
0.765,0.009
0.7655,0.009
0.766,0.01
0.7665,0.011
0.767,0.011
0.7675,0.012
0.768,0.013
0.7685,0.013
0.769,0.014
0.7695,0.015
0.77,0.016
0.7705,0.017
0.771,0.017
0.7715,0.018
0.772,0.019
0.7725,0.02
0.773,0.021
0.7735,0.022
0.774,0.023
0.7745,0.024
0.775,0.025
0.7755,0.026
0.776,0.027
0.7765,0.028
0.777,0.029
0.7775,0.03
0.778,0.031
0.7785,0.032
0.779,0.033
0.7795,0.034
0.78,0.035
0.7805,0.037
0.781,0.038
0.7815,0.039
0.782,0.04
0.7825,0.042
0.783,0.043
0.7835,0.044
0.784,0.045
0.7845,0.047
0.785,0.048
0.7855,0.05
0.786,0.051
0.7865,0.052
0.787,0.054
0.7875,0.055
0.788,0.057
0.7885,0.058
0.789,0.06
0.7895,0.061
0.79,0.063
0.7905,0.064
0.791,0.066
0.7915,0.068
0.792,0.069
0.7925,0.071
0.793,0.073
0.7935,0.074
0.794,0.076
0.7945,0.078
0.795,0.079
0.7955,0.081
0.796,0.083
0.7965,0.085
0.797,0.087
0.7975,0.088
0.798,0.09
0.7985,0.092
0.799,0.094
0.7995,0.096
0.8,0.098
0.8005,0.1
0.801,0.102
0.8015,0.104
0.802,0.106
0.8025,0.108
0.803,0.11
0.8035,0.112
0.804,0.114
0.8045,0.116
0.805,0.118
0.8055,0.12
0.806,0.123
0.8065,0.125
0.807,0.127
0.8075,0.129
0.808,0.131
0.8085,0.134
0.809,0.136
0.8095,0.138
0.81,0.14
0.8105,0.143
0.811,0.145
0.8115,0.147
0.812,0.15
0.8125,0.152
0.813,0.155
0.8135,0.157
0.814,0.16
0.8145,0.162
0.815,0.164
0.8155,0.167
0.816,0.17
0.8165,0.172
0.817,0.175
0.8175,0.177
0.818,0.18
0.8185,0.182
0.819,0.185
0.8195,0.188
0.82,0.19
0.8205,0.193
0.821,0.196
0.8215,0.198
0.822,0.201
